profileUrl,postContent,Linked Record Field,Themes,Content Format,type,First Name (from Linked Record Field),Last Name (from Linked Record Field),Company (from Linked Record Field),Industry (from Linked Record Field),Title (from Linked Record Field),timestamp,postUrl,imgUrl,Created/Cultivated/Curated,error,Subthemes,Thought Leadership?,likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,Weekday,Time of Post,Date of Post,Day of the Week,3/24-4/23?,Posts vs Engagements,Hour of Post,Month of Post,4/23-5/23?,documentTitle,documentPageCount,thought leadership
https://www.linkedin.com/in/jacquelinenevils/,"It’s amazing to see how a high engagement score reflects on business results. You can feel this positive spirit when spending time with the FME team in Austria!
Many thanks to Dietmar Legenstein and Team!",https://www.linkedin.com/in/jacquelinenevils/,MISC,Personal/Public Pictures,Image,Jacqui,Nevils,Fresenius,Healthcare Providers,"SVP, Digital Technology & Innovation",2024-07-01 17:35,https://www.linkedin.com/feed/update/urn:li:activity:7199494058153525250,https://media.licdn.com/dms/image/D4D22AQFgWlyrHpD_9g/feedshare-shrink_800/0/1716464548013?e=1722470400&v=beta&t=NFh8Z8JT-KIxWA6C58q0WeakRu93Y1eQuPNQQSUDpW4,,,,,186,8,4,1mo,,,,Jacqui Nevils likes this,,,2024-05-23 19:39,,,,,,,,,Thursday,11:39 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/jordansheila/,"When Snowflake set out over a decade ago, the premise was simple -- Disrupt the Cloud Data Warehouse space. This morning, my team was awarded with the 2024 Ally Disruptor of the Year Award, a representation of the power of our cloud platform & tech. To Ally, thank you for believing in us 4+ years ago - it feels like we are just getting started.

Sathish M., Scott Richardson, Derick Salkowitz, Rajiv Prakash, Sudip Barat, Ashish Pandey & Chris Roberson and the entire EDA team - thank you! It is a honor to continuously work with such brilliant minds in the digital banking space - you are a truly an industry leader.

PS - this is probably one of the coolest awards ever to be given, we did it Andy Bouts !!! (Thanks again Ally)",https://www.linkedin.com/in/jordansheila/,MISC,,Image,Sheila,Jordan,Honeywell,Consumer & Industrial Products,"Senior Vice President, Chief Digital Technology Officer at Honeywell",2024-07-01 16:42,https://www.linkedin.com/feed/update/urn:li:activity:7199743575494901763,https://media.licdn.com/dms/image/D5622AQE7lZ5MEBJWng/feedshare-shrink_800/0/1716480810290?e=1722470400&v=beta&t=Vl2UFj32ICMk6CYfCuMh9r5JOnA8RlrR2i7jT9qnTJA,,,,,207,37,7,1mo,This is awesome Spencer! I respect and fully understand the amount of work required to achieve this level of recognition is. The combination of Snowflake and Ally is indeed impressive! So proud of you of you and the team!,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7199442412400779264/?commentUrn=urn:li:comment:(ugcPost:7199442412400779264,7199743562895212546)&dashcommentUrn=(7199442412400779264,urn:li:ugcPost:7199442412400779264)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7199442412400779264,Sheila Jordan commented on this,,,2024-05-23 16:13,,,,,,,,,Thursday,8:13 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/stacy-lloyd-35b26218/,"Excited to share that I've graduated Cum Laude from Loyola University Chicago with a Bachelor of Sciences in Healthcare Administration! 🎉

Additionally, I'm honored to have received the Advocacy and Leadership award from the Parkinson School of Health Sciences and Public Health, Loyola University Chicago

I want to express my heartfelt gratitude to everyone who supported me on this journey. Your encouragement and guidance have been invaluable. Thank you for being a part of my academic experience at Loyola University Chicago. I am truly grateful for the time spent here and look forward to applying my knowledge and skills in the healthcare field.",https://www.linkedin.com/in/stacy-lloyd-35b26218/,MISC,,Image,Stacy,Lloyd,American Medical Association,Healthcare Providers,"Director, Digital Health & Operations",2024-07-01 17:28,https://www.linkedin.com/feed/update/urn:li:activity:7199391632155123713,https://media.licdn.com/dms/image/D5622AQGIscv-zY-Slg/feedshare-shrink_800/0/1716414781796?e=1722470400&v=beta&t=CVuRWlAplJAnbNGb2V1KY7PmF_jwkQiHfubA2Q2oKgk,,,,,75,11,2,1mo,"Congrats, Melissa! 👏🏻","https://www.linkedin.com/feed/update/urn:li:activity:7199386120776818691/?commentUrn=urn:li:comment:(activity:7199386120776818691,7199391628497670144)",https://www.linkedin.com/feed/update/urn:li:activity:7199386120776818691,Stacy Lloyd commented on this,,,2024-05-23 12:30,,,,,,,,,Thursday,4:30 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/chad-stephens-13319656/,"I’m happy to share that I’m starting a new position as VP, Food Materials Innovation & Development at Sealed Air Corporation!",https://www.linkedin.com/in/chad-stephens-13319656/,MISC,celebration,Celebration,Chad,Stephens,Graham Packaging,Consumer & Industrial Products,Chief Technology Officer,2024-07-01 16:40,https://www.linkedin.com/feed/update/urn:li:activity:7199461705867763712,https://media.licdn.com/media/AAYQAQQSAAgAAQAAAAAAABgBrZ2daanMQJ-egBdqUfzcNg.gif,,,,,313,126,0,1mo,Congrats Tiffani,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7199420419001462785/?commentUrn=urn:li:comment:(ugcPost:7199420419001462785,7199461688285310976)&dashcommentUrn=(7199420419001462785,urn:li:ugcPost:7199420419001462785)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7199420419001462785,Chad Stephens commented on this,,,2024-05-23 14:46,,,,,,,,,Thursday,6:46 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/jamesknutson/,"I'm thrilled to share that I've joined Vervint! Embracing a holistic approach, we're driving forward-looking digital solutions that untangle complexity to deliver tangible results for ambitious companies. We meet them where they are to tackle their most complex challenges. #NewBeginnings #ExcitingOpportunities #CareerGrowth 😍",https://www.linkedin.com/in/jamesknutson/,MISC,celebration,Celebration,Jim,Knutson,Associated Bank,Banking,"Senior Vice President, Director of IT Infrastructure",2024-07-01 15:43,https://www.linkedin.com/feed/update/urn:li:activity:7199421936949497856,https://media.licdn.com/media/AAYQAQQSAAgAAQAAAAAAACM4gRr-hS4nRk6sk9-SqBXqhw.gif,,,,,136,97,1,1mo,,,,Jim Knutson likes this,,,2024-05-23 14:52,,,,,,,,,Thursday,6:52 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/fariha-greenwood/,"We’re thrilled to announce the appointment of Florence Kui as our new Head of the China Market, based out of Hong Kong.

Florence will be responsible for leading our Hong Kong-based team, servicing the diverse offshore wealth needs of our ultra-high-net-worth clients in China.

“We’re very pleased to welcome Florence to the team,” noted Harshika Patel, CEO of J.P. Morgan Private Bank Asia. “Her breadth of experience will help us to continue to build on the delivery of first-class service to our clients in China.”

A huge thank you to Grace Lin for her dedication to the business over the past 8 years. We wish her all the best in her retirement.

Learn more about Florence and our team in Hong Kong: http://spr.ly/6043dINTB",https://www.linkedin.com/in/fariha-greenwood/,MISC,document,Document,Fariha,Greenwood,Houlihan Lokey,Banking,"Head of Digital, Corporate Finance",2024-07-01 16:02,https://www.linkedin.com/feed/update/urn:li:activity:7200298530601676800,,,,,,148,7,1,1mo,Wonderful news! Congratulations! They are lucky to have you.,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7199197387393777664/?commentUrn=urn:li:comment:(ugcPost:7199197387393777664,7200298478147620866)&dashcommentUrn=(7199197387393777664,urn:li:ugcPost:7199197387393777664)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7199197387393777664,Fariha Greenwood commented on this,,,2024-05-23 00:00,,,,,,,,,Thursday,4:00 AM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/anilbhatt/,"Carelon wins again

Today our Team in Carelon Global Solutions Ireland achieved Best Workplace in Tech 2024 from Great Place to Work® Ireland

Our Chief Country Executive John Patrick Shaw commented on this Team Achievement ; “ This recognises our strong Teamwork Culture driven by our Purpose to Improve Lives “

Helene Dingreville Rajesh Biddala Priya M. Elizabeth Mulrennan Colette Wallace Saipriya Ramachandran Leona Barry Paul Kiely Ricardo Bánffy Dejan L. Craig Ferguson Julie Romanenghi Michael Kidd Samaresh Paul Powell Mittra Stephen Callaghan Tara Fahey William W. Subhasree Datta Victor Reus Rajat Puri Anil Bhatt Monica Singh Avram Shawn Wang Amish Patel Tom Creedon

#jobs #hiring #innovation #software #ai #datascience",https://www.linkedin.com/in/anilbhatt/,MISC,,Image,Anil,Bhatt,Elevance Health,Healthcare Payers,"SVP, Global Chief Information Officer",2024-07-01 17:12,https://www.linkedin.com/feed/update/urn:li:activity:7199379210237337600,https://media.licdn.com/dms/image/D4D10AQGN3IVxho8HEA/image-shrink_800/0/1716455103173?e=1720461600&v=beta&t=UBAfkbX6E83cWyEFT9xN2P_ug8eu4EXr17W50wbPkz8,,,,,106,9,5,1mo,,,https://www.linkedin.com/feed/update/urn:li:activity:7199334524101517317/,Anil Bhatt likes this,,,2024-05-23 12:02,,,,,,,,,Thursday,4:02 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/anilbhatt/,"I'm honored to be recognized by DataIQ as one of the top 3 most influential people in Data 2024. Together, we are creating positive healthcare experiences for members and providers leveraging data-driven insights. Here's to exploring the vast opportunities within the health sector, striving towards a brighter future. Click on the link to learn more: https://lnkd.in/eev_TAbA
#DataIQ100 #Data #Tech",https://www.linkedin.com/in/anilbhatt/,MISC,,Article,Anil,Bhatt,Elevance Health,Healthcare Payers,"SVP, Global Chief Information Officer",2024-07-01 17:12,https://www.linkedin.com/feed/update/urn:li:activity:7199243879517229056,,,,,,1019,206,5,1mo,,,https://www.dataiq.global/dataiq100-2024-usa/3-ashok-chennuru-vice-president-global-chief-data-and-insights-officer-elevance-health,Anil Bhatt celebrates this,,,2024-05-23 03:04,,,,,,,,,Thursday,7:04 AM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/patrick-weis-ddc/,We had an awesome turnout preparing 431 dental kits! #DeltaDental #Volunteers #4C’s #Alpharetta #G&A #makingsmilesbrighter Delta Dental Ins.,https://www.linkedin.com/in/patrick-weis-ddc/,MISC,,Image,Patrick,Weis,Delta Dentals (CA),Healthcare Payers,"Director, Technology Operations",2024-07-01 17:10,https://www.linkedin.com/feed/update/urn:li:activity:7199216677308256258,https://media.licdn.com/dms/image/D5622AQEqY182gqcDSw/feedshare-shrink_800/0/1716317670624?e=1722470400&v=beta&t=RgsmI1uuFhIQRdn1NFW03o0AQ7sUG_z9HeCbHOO-GcQ,,,,,107,3,2,1mo,,,,Patrick Weis likes this,,,2024-05-23 01:16,,,,,,,,,Thursday,5:16 AM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,"Tomorrow is going to be a great day at the #B2BMarCom Summit. Looking forward to great content all day long - and to a fantastic conversation with Elizabeth Shea, John C. Burns III Merav Yuravlivker and Jake Bittner!

Https://b2bsummit.co/",https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,MISC,,Image,Jeff,McMillan,Morgan Stanley,Banking,Head of AI,2024-07-01 16:10,https://www.linkedin.com/feed/update/urn:li:activity:7199210033220341761,https://media.licdn.com/dms/image/D4E22AQFDCMOVERGqqQ/feedshare-shrink_800/0/1716425302788?e=1722470400&v=beta&t=TV95Hg6S3liYC7HlzOUGMbl8TMlAJqAw7ANtaiw0fqo,,,,,126,4,1,1mo,Pay attention to Stephanie. She knows what she is talking about.,"https://www.linkedin.com/feed/update/urn:li:activity:7199209515865505792/?commentUrn=urn:li:comment:(activity:7199209515865505792,7199209999464611840)",https://www.linkedin.com/feed/update/urn:li:activity:7199209515865505792,Jeff McMillan commented on this,,,2024-05-23 00:48,,,,,,,,,Thursday,4:48 AM,5/23/2024,,,,,,,,,
