profileUrl,timestamp,error,postUrl,sharedPostUrl,type,imgUrl,postContent,Total Engagement,likeCount,commentCount,repostCount,postDate,action,viewCount,postTimestamp,Weekday of Post,Time of Post,Day of Post,Hour of Post,Day of the Week,commentContent,commentUrl,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,documentTitle,documentPageCount,6/24-7/24?,AI/ML,CC,DA,DT,HCD,I,OCM,PD,RD,T,UX,Themes
https://www.linkedin.com/in/cornue/,2024-08-06T15:04:42.616Z,,https://www.linkedin.com/feed/update/urn:li:activity:7210795184156987392,,Image,https://media.licdn.com/dms/image/v2/D5622AQEcRIkWeHBaNQ/feedshare-shrink_800/feedshare-shrink_800/0/1719173917239?e=1726099200&v=beta&t=R4Nf87C6z73ZKbVzJkxo6ufyziYhtiXmX3QXwuMcGDQ,"Slide of the Week

Being a patient is hard.  Providing care is hard. 

Neither should be, but when we couple rapid fire scientific breakthroughs with ever more complex healthcare systems and insurance benefit design, we turn what should be the most humane, compassionate industry out there into a source of frustration. Unintentionally, we compound the suffering caused by illness with the suffering caused by an incomprehensible healthcare ecosystem.  Good people and good care can help the former, but we need to fix our system to help the latter.  We need to streamline complexity and simplify health. 

Focusing on the basics is the right place to start.  For patients, that means being able to find care, access care, and navigate care.  My favorite slide for this week is all about finding care.  Back when I started in practice, patients found the right doctor to help them by referrals from family, friends, or another clinician.  Last year for the first time, our Press Ganey data showed the #1 way patients found care was on-line. 

My doctor friends, this means making sure your on-line profile and presence reflects who you are and what you do.  For patients to find you, you need to make sure your story is out there.  And reviews count.  A lot.  Patients won't see docs rated less than 4 stars.  Make sure all those patients that love you review you, not just the few that are unhappy. 

My health plan and health system friends - focus on that digital front door.  Those provider directories really matter. Patients count on those lists of affiliated/participating clinicians, including the phone numbers and addresses.  It's amazing how often those are out of date or simply wrong. And help docs get reviews on line.  The more reviews each provider has, the more trustworthy the data they convey. 

Helping patients find, access, and navigate the care they need is simple to describe but hard to execute; ensuring patients can easily find the care they need is step one.   Don't our patients deserve that? 

Pranav Desai Chrissy Daniels Thomas Lee, MD Chris Skiffington Zeev Neuwirth, MD Estee Neuwirth Susan Mullaney Kristy LoRusso Jason Mitchell, M.D. Christopher Cornue David Shapiro Dan Litwer Sara Vaezy Michael Myint Susan (Sue) Brandenburg Darren Dworkin",93,77,11,5,1mo,Christopher Cornue reposted this,,2024-06-24 00:05,Monday,4:05 AM,6/24/2024,4-5am,Monday,,,,,,,,,,,checked,0,1,1,1,1,1,1,1,0,1,0,"Customer Centricity, Data & Analytics, Digital Transformation, Human-centered design, Innovation, Organizational Change Management, Product Development, Transactions"
https://www.linkedin.com/in/markebrowning/,2024-08-06T16:02:12.052Z,,https://www.linkedin.com/feed/update/urn:li:activity:7210828049871720448,https://www.linkedin.com/feed/update/urn:li:activity:7205968724720238592/,Image,https://media.licdn.com/dms/image/D4E22AQFqrrlYy9Lt_g/feedshare-shrink_800/0/1719194004426?e=1726099200&v=beta&t=ofa0FFgeaGKzmQqFNoObDjepx_yaLRFPhoLivlbAfKQ,Iâ€™m so proud to be a member of this family. Thank you for including me on this journey.,11,11,0,0,1mo,Mark Browning likes this,,2024-06-24 02:16,Monday,6:16 AM,6/24/2024,6-7am,Monday,,,,,,,,,,,checked,0,0,0,0,0,0,0,0,0,0,0,MISC
https://www.linkedin.com/in/williamblaketiemeyer/,2024-08-06T15:36:25.247Z,,https://www.linkedin.com/feed/update/urn:li:activity:7210926401984581633,,Video (LinkedIn Source),https://media.licdn.com/dms/image/D4E10AQGXgWVQ1OP4TA/ads-video-thumbnail_720_1280/0/1718990196381?e=1723564800&v=beta&t=GzzS8bPOzYP1bPYipEVF9zeVKw7L9lXCMpHcnSzXjU0,"Jefferies colleagues share their thoughts on the importance of LGBTQ+ allyship and inclusion as we continue to celebrate #Pride Month. 

Hear from colleagues across the globe about how Jefferies creates an environment where people can bring their whole selves to work, and how in turn that allows colleagues and the firm to thrive and succeed. #JefferiesDEI",56,50,2,4,1mo,Blake Tiemeyer likes this,,2024-06-24 08:47,Monday,12:47 PM,6/24/2024,12-1pm,Monday,,,blob:https://www.linkedin.com/274db8d0-743f-4543-8453-cdf0643fefc2,,,,,,,,checked,0,0,0,0,0,0,0,0,0,0,0,MISC
https://www.linkedin.com/in/punitmahajan/,2024-07-24T15:17:00.386Z,https://www.linkedin.com/feed/update/urn:li:activity:7210937213784616962,https://www.linkedin.com/feed/update/urn:li:activity:7210937213784616962,,Image,https://media.licdn.com/dms/image/D4E22AQE8gjhZzIcaaA/feedshare-shrink_800/0/1718910271031?e=1724889600&v=beta&t=25fMmBpShZ5VvwyTAXwWV1oi0owMS1mGw9ZPiMbztIg,"Good morning.Â We just passed through Ft. Scott, Kansas. 

The good news.Â We are more than halfway, having biked more than 1750 of the 3041 miles. 

Tuesday night into Wednesday morning was a low point.Â After making great progress, we faced brutal conditions in western Kansasâ€”rain and strong, 20-30 mile headwinds.Â For bikers, headwinds are a weight both physically and mentally.Â It is like running with a 40-point backpack strapped to your back.Â A tough uphill eventually ends; headwinds can last for days.Â When I went to sleep Tuesday night, I had real doubts about whether we could make it.Â We were exhausted and feeling down.Â Tempers were short.Â Several other Race Across America racers and teams dropped out in Kansas, defeated by the wind. 

After 20 or so hours of difficult conditions, miraculously, the weather cooled, the winds stopped and a giant Midwest storm capable of tornadoes passed in front of us. 

Our crew of Tim, Jack (17), and Tucker (15) Punke, and I, took over our shift at around 1 p.m. on Wednesday afternoon about 100 miles west of Wichita, Kansas, and rode around 225 miles toward the Missouri border.Â The ride was glorious with one exception - a flat tire.Â Since we could not stop, for the first time in my life, I changed a tire in the back seat, enabling me to take a last shift at 3:30 a.m.Â We rolled into a $57 per night roadside at 5:30 a.m.Â A 17-hour shift was long, but it was a beautiful, moonlit night with relatively cool weather. While Tim was out on a long shift, we all stopped at Subway for a sandwich, the best meal we have had since starting.Â For the rest of the time, we have lived on salami and cheese on tortillas, bars, and energy gel.Â We slept from 6-10 a.m. and then hit the road again, meeting up with the crew which is currently biking toward Jefferson City, Missouri.

We face two major challenges going forward, in addition to exhaustion: hills and heat. As we move into Missouri, we go deeper and deeper into the heat dome that has built over the eastern United States.Â Humidity will exceed 90%.Â We are using ""ice socks""â€”pantyhose filled with ice that we ride with stuffed into our bike shirts.Â One might intuitively conclude that the major elevation gains lie in the westâ€”the southern Sierras, the climb out of the desert to Flagstaff, and the Rocky Mountains.Â As we enter eastern Missouri, Illinois, and Ohio, we will face a series of 500-1000-foot ""rollers"".Â But when we get to West Virginia and Western Maryland, we will encounter endless 1000-2000 foot ups and downs. 

Our crew: AU grads Natalie Oliver and Inken Ehlers have been amazing, keeping the RV and truck going, handling logistics, and keeping us going.Â They have tireless energy, and boundless enthusiasm and have shared an unforgettable experience crossing the United States.Â So far, 104 donors have given more than $35,000 in scholarships. Let's keep it going! Inken Ehlers Natalie Oliver Timothy Punke Lori Otto Punke Brian Pomper 

https://lnkd.in/eUFPHgk9",404,359,37,8,1mo,Punit Mahajan loves this,,2024-06-24 09:30,Monday,1:30 PM,6/24/2024,1-2pm,Monday,,,,,,,,,,,checked,0,1,0,0,0,0,0,0,0,0,0,Customer Centricity
https://www.linkedin.com/in/rcurran1/,2024-07-24T15:08:22.224Z,https://www.linkedin.com/feed/update/urn:li:activity:7211087888166342656,https://www.linkedin.com/feed/update/urn:li:activity:7211087888166342656,https://www.linkedin.com/feed/update/urn:li:ugcPost:7210960972058935297,Celebration,https://media.licdn.com/media/AAYQAQQSAAgAAQAAAAAAABwEEXEeLoHISM2cU9LdzliLaQ.gif,"I'm excited to share that I am starting a new position as a Branch Operations Manager at Oppenheimer & Co. Inc. in the Philadelphia region. Thank you to Charles Hillis, Yale Saltzman and Paul Clemente for this wonderful opportunity! I am thrilled to be part of an organization that is so passionate about their clients.",87,41,46,0,1mo,Ryan Curran commented on this,,2024-06-24 11:04,Monday,3:04 PM,6/24/2024,3-4pm,Monday,Congratulations Paul. Youâ€™re going to knock it out of the park!,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7210960972058935297/?commentUrn=urn:li:comment:(ugcPost:7210960972058935297,7211087882764058624)&dashcommentUrn=(7210960972058935297,urn:li:ugcPost:7210960972058935297)",,,,,,,,,checked,0,0,0,0,0,0,0,0,0,0,0,MISC
https://www.linkedin.com/in/chris-samuelson-1751901b/,2024-08-06T15:17:38.938Z,,https://www.linkedin.com/feed/update/urn:li:activity:7210963485533351936,,Text,,"I'm celebrating my 10-year anniversary with Insight Global! It feels like just yesterday that I was a fresh college graduate, entering the corporate world for the first time, unsure of what I had signed up for. I'm feeling grateful for this job and to Insight Global for taking a chance on me. I'm so thankful for the relationships and friendships made along the way. Time flies!


...and if you're hiring, call me! (shameless plug)",129,112,17,0,1mo,Chris Samuelson likes this,,2024-06-24 11:14,Monday,3:14 PM,6/24/2024,3-4pm,Monday,,,,,,,,,,,checked,0,0,0,0,0,0,0,0,0,0,0,MISC
https://www.linkedin.com/in/shanise-bell-doc-b-a-pmp-0075823/,2024-07-24T16:18:38.701Z,https://www.linkedin.com/feed/update/urn:li:activity:7213384873351290880,https://www.linkedin.com/feed/update/urn:li:activity:7213384873351290880,https://www.linkedin.com/feed/update/urn:li:ugcPost:7210969401209094145,Image,https://media.licdn.com/dms/image/D4E22AQGCgakRQ-QWwQ/feedshare-shrink_2048_1536/0/1719229076877?e=1724889600&v=beta&t=Qeraa6-f2TMQXXx7fJLbQbEmfgjwFbRjktrz2CucT10,"I am incredibly grateful to have completed my one-year administrative fellowship at Henry Ford Health. This experience provided me the opportunity to see and understand the organization from a high level, participate in impactful projects, and form invaluable connections. I owe a special thank you to Michael A. Genord, M.D., Margaret Anderson, the rest of the HAP Executive Leadership Team (ELT), and so many others for their unwavering support and mentorship throughout this journey. Their guidance has been instrumental in my personal and professional growth. I am excited to continue my career within the HFH/HAP family, applying the lessons learned during this fellowship to contribute to our mission and drive positive change.

#IamHenry #HenryFordHealth #HAP #AdministrativeFellowship #HFHAdministrativeFellowship #LeadershipDevelopment",157,121,36,0,1mo,"Shanise Bell, Doc.B.A, PMP commented on this",,2024-06-24 11:37,Monday,3:37 PM,6/24/2024,3-4pm,Monday,Well done! Great things ahead!,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7210969401209094145/?commentUrn=urn:li:comment:(ugcPost:7210969401209094145,7213384867160473601)&dashcommentUrn=(7210969401209094145,urn:li:ugcPost:7210969401209094145)",,,,,,,,,checked,0,0,0,0,0,0,0,0,0,0,0,MISC
https://www.linkedin.com/in/jonrosner/,2024-07-24T15:12:45.501Z,https://www.linkedin.com/feed/update/urn:li:activity:7210987862542946304,https://www.linkedin.com/feed/update/urn:li:activity:7210987862542946304,https://www.linkedin.com/feed/update/urn:li:ugcPost:7210973885721161729,Celebration,https://media.licdn.com/media/AAYQAQQSAAgAAQAAAAAAABwEEXEeLoHISM2cU9LdzliLaQ.gif,Iâ€™m happy to share that Iâ€™m starting a new position as Managing Director of Product at JPMorgan Chase & Co.!,421,328,93,0,1mo,Jon Rosner commented on this,,2024-06-24 11:55,Monday,3:55 PM,6/24/2024,3-4pm,Monday,Christopher Sharp - welcome to the team!,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7210973885721161729/?commentUrn=urn:li:comment:(ugcPost:7210973885721161729,7210987833900023812)&dashcommentUrn=(7210973885721161729,urn:li:ugcPost:7210973885721161729)",,,,,,,,,checked,0,0,0,0,0,0,0,0,0,0,0,MISC
https://www.linkedin.com/in/robertroley/,2024-08-06T15:43:40.730Z,,https://www.linkedin.com/feed/update/urn:li:activity:7210975372417355776,,Image,https://media.licdn.com/dms/image/D4E22AQFXKFnmlsUYrg/feedshare-shrink_800/0/1719229786397?e=1726099200&v=beta&t=jwUMCQZZCbBpOjKuiW4DS_EV1dOEGIwFigDv7DvP5dA,"Itâ€™s been a busy month but I couldnâ€™t let Pride Month pass by without contributing to the celebrations. I am honored to be speaking at NYSEâ€™s inaugural Pride event on the 25th June. Join me for ""Freedom: Celebrating LGBTQ+ Pride at NYSE."" 

Iâ€™ll be discussing board representation on corporate boards alongside my colleagues. Proud to represent my Board Role for NYSE companies: CMS Energy, Trinet, and Spirit Airlines. Inclusion happens here. See you there! #NYSEPRIDE #Trinet #Spiritairlines #CMSEnergy Association of LGBTQ+ Corporate Directors NYSE",85,81,4,0,1mo,Robert Roley likes this,,2024-06-24 12:01,Monday,4:01 PM,6/24/2024,4-5pm,Monday,,,,,,,,,,,checked,0,0,0,0,0,0,0,0,0,0,0,MISC
https://www.linkedin.com/in/daliapowers,2024-07-24T16:19:51.909Z,https://www.linkedin.com/feed/update/urn:li:activity:7211590153012666368,https://www.linkedin.com/feed/update/urn:li:activity:7211590153012666368,https://www.linkedin.com/feed/update/urn:li:ugcPost:7210986294020091904,Celebration,https://media.licdn.com/media/AAYQAQQSAAgAAQAAAAAAABgBrZ2daanMQJ-egBdqUfzcNg.gif,"I am excited to announce that Iâ€™ve joined Own Company as their Chief Marketing Officer! I look forward to driving business growth and leading our talented marketing team. 

Own (formerly OwnBackup) is the leading independent SaaS data platform that helps over 6,000 customers protect and activate their SaaS data. 

Our platform provides backup & recovery, security, seeding, and archiving for Salesforce, ServiceNow, and more.  We also help customers leverage their historical data for trends, insights, and data-driven decision making. 

To learn more about Own, visit https://www.owndata.com/",703,487,216,0,1mo,Dalia Powers commented on this,,2024-06-24 12:45,Monday,4:45 PM,6/24/2024,4-5pm,Monday,Congrats Debbie!,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7210986294020091904/?commentUrn=urn:li:comment:(ugcPost:7210986294020091904,7211590112978042881)&dashcommentUrn=(7210986294020091904,urn:li:ugcPost:7210986294020091904)",,,,,,,,,checked,1,1,1,1,0,1,1,1,1,1,0,"AI/ Machine Learning, Customer Centricity, Data & Analytics, Digital Transformation, Innovation, Organizational Change Management, Product Development, Research & Development, Transactions"
